Rua José Loureiro,Centro,Curitiba,80010-000
Rua Marechal Deodoro,Centro,Curitiba,80010-010
Rua Pedro Ivo,Centro,Curitiba,80010-020
Praça Rui Barbosa,Centro,Curitiba,80010-030
Rua Emiliano Perneta,Centro,Curitiba,80010-050
Rua André de Barros,Centro,Curitiba,80010-080
Avenida Visconde de Guarapuava,Centro,Curitiba,80010-100
Rua Desembargador Westphalen,Centro,Curitiba,80010-110
Alameda Doutor Muricy,Centro,Curitiba,80010-120
Avenida Marechal Floriano Peixoto,Centro,Curitiba,80010-130
Rua Monsenhor Celso,Centro,Curitiba,80010-150
Rua Lourenço Pinto,Centro,Curitiba,80010-160
Rua João Negrão,Centro,Curitiba,80010-200
Praça Senador Correia,Centro,Curitiba,80010-210
Centro Comercial Itália,Centro,Curitiba,80010-912
"Rua Marechal Deodoro, 298",Centro,Curitiba,80011-970
Rua Candido Lopes,Centro,Curitiba,80020-060
Avenida Marechal Floriano Peixoto,Centro,Curitiba,80020-090
Praça Tiradentes,Centro,Curitiba,80020-100
Rua Barão do Serro Azul,Centro,Curitiba,80020-180
Rua São Francisco,Centro,Curitiba,80020-190
Rua Prefeito João Moreira Garcez,Centro,Curitiba,80020-200
Rua Alfredo Bufren,Centro,Curitiba,80020-240
Rua Riachuelo,Centro,Curitiba,80020-250
Rua Treze de Maio,Centro,Curitiba,80020-270
Rua Presidente Faria,Centro,Curitiba,80020-290
Rua XV de Novembro,Centro,Curitiba,80020-310
Rua Marechal Deodoro,Centro,Curitiba,80020-320
Avenida João Gualberto,Alto da Glória,Curitiba,80030-000
Avenida João Gualberto,Juvevê,Curitiba,80030-001
Rua Heitor Stockler de Franca,Centro Cívico,Curitiba,80030-030
Rua da Glória,Centro Cívico,Curitiba,80030-060
Rua Comendador Fontana,Centro Cívico,Curitiba,80030-070
Rua Padre Antônio,Centro,Curitiba,80030-100
Avenida Agostinho Leão Júnior,Centro,Curitiba,80030-110
Rua Carlos Eduardo Leão,Alto da Glória,Curitiba,80030-130
Rua Maria Clara,Alto da Glória,Curitiba,80030-140
Rua Ivo Leão,Alto da Glória,Curitiba,80030-180
Travessa José do Patrocínio,Alto da Glória,Curitiba,80030-190
Rua Mauá,Alto da Glória,Curitiba,80030-200
Rua Campos Sales,Alto da Glória,Curitiba,80030-230
Rua Augusto Severo,Alto da Glória,Curitiba,80030-240
Rua Campos Sales,Ahú,Curitiba,80030-285
Rua Doutor Goulin,Alto da Glória,Curitiba,80030-290
Rua Barão de Guaraúna,Alto da Glória,Curitiba,80030-310
Rua Nicolau Maeder,Alto da Glória,Curitiba,80030-330
Rua Campos Sales,Juvevê,Curitiba,80030-376
Rua Cambará,Juvevê,Curitiba,80030-380
Rua Nicolau Maeder,Juvevê,Curitiba,80030-383
Rua Moyses Marcondes,Juvevê,Curitiba,80030-410
Rua Manoel Eufrásio,Juvevê,Curitiba,80030-440
Avenida Munhoz da Rocha,Cabral,Curitiba,80035-000
Rua Bom Jesus,Juvevê,Curitiba,80035-010
Rua São Pedro,Cabral,Curitiba,80035-020
Rua Chichorro Júnior,Cabral,Curitiba,80035-040
Rua dos Funcionários,Cabral,Curitiba,80035-050
Rua Quintino Bocaiúva,Cabral,Curitiba,80035-090
Rua Professor Arthur Loyola,Cabral,Curitiba,80035-100
Rua Recife,Cabral,Curitiba,80035-110
Rua Deputado Joaquim José Pedrosa,Cabral,Curitiba,80035-120
Avenida Paraná,Cabral,Curitiba,80035-130
Rua São Luiz,Cabral,Curitiba,80035-140
Rua Belém,Cabral,Curitiba,80035-170
Rua Vereador Garcia Rodrigues Velho,Cabral,Curitiba,80035-180
Rua Vereador Antônio dos Reis Cavalheiro,Cabral,Curitiba,80035-210
Rua Coronel Amazonas Marcondes,Cabral,Curitiba,80035-230
Rua Abílio Peixoto,Cabral,Curitiba,80035-260
Rua José de Alencar,Juvevê,Curitiba,80040-070
Rua Sete de Abril,Juvevê,Curitiba,80040-120
Rua Conselheiro Carrão,Juvevê,Curitiba,80040-130
Rua Itupava,Juvevê,Curitiba,80040-134
Rua Simão Bolivar,Juvevê,Curitiba,80040-140
Rua Prefeito Ângelo Ferrário Lopes,Hugo Lange,Curitiba,80040-252
Avenida Nossa Senhora da Luz,Hugo Lange,Curitiba,80040-265
Rua Doutor Goulin,Juvevê,Curitiba,80040-280
Rua Augusto Stresser,Juvevê,Curitiba,80040-310
Rua Fernandes de Barros,Hugo Lange,Curitiba,80040-450
Rua Presidente Rodrigo Otávio,Hugo Lange,Curitiba,80040-452
Rua do Herval,Alto da Rua XV,Curitiba,80045-010
Avenida Visconde de Guarapuava,Alto da Rua XV,Curitiba,80045-030
Rua José de Alencar,Alto da Rua XV,Curitiba,80045-115
Rua Dias da Rocha Filho,Alto da Rua XV,Curitiba,80045-130
Travessa João Prosdócimo,Alto da Rua XV,Curitiba,80045-145
Rua Ubaldino do Amaral,Alto da Rua XV,Curitiba,80045-150
Avenida Senador Souza Naves,Alto da Rua XV,Curitiba,80045-190
Rua Flávio Dallegrave,Alto da Rua XV,Curitiba,80045-250
Rua XV de Novembro,Alto da Rua XV,Curitiba,80045-270
Rua Professor Brandão,Alto da Rua XV,Curitiba,80045-280
Rua Professor Brandão,Alto da Rua XV,Curitiba,80045-325
Rua Prefeito Ângelo Ferrário Lopes,Alto da Rua XV,Curitiba,80045-400
Avenida Senador Souza Naves,Cristo Rei,Curitiba,80050-152
Travessa Madre Júlia,Cristo Rei,Curitiba,80050-160
Rua do Herval,Cristo Rei,Curitiba,80050-205
Rua Francisco Alves Guimarães,Cristo Rei,Curitiba,80050-210
Rua José de Alencar,Cristo Rei,Curitiba,80050-240
Rua Atílio Bório,Cristo Rei,Curitiba,80050-250
Avenida São José,Cristo Rei,Curitiba,80050-350
Rua Poeta Francisco Ferreira Leite,Cristo Rei,Curitiba,80050-360
Avenida Presidente Affonso Camargo,Cristo Rei,Curitiba,80050-370
Rua Sanito Rocha,Cristo Rei,Curitiba,80050-380
Rua Eduardo Aguirre Calabresi,Cristo Rei,Curitiba,80050-390
Rua Oyapock,Cristo Rei,Curitiba,80050-450
Travessa Ângelo Piazzetta,Cristo Rei,Curitiba,80050-460
Rua Coronel Pedro Scherer Sobrinho,Cristo Rei,Curitiba,80050-470
Rua João Pontoni,Cristo Rei,Curitiba,80050-490
Rua Governador Agamenon Magalhães,Cristo Rei,Curitiba,80050-510
Rua Urbano Lopes,Cristo Rei,Curitiba,80050-520
Rua Roberto Cichon,Cristo Rei,Curitiba,80050-580
"Rua Schiller, 555",Alto da Rua XV,Curitiba,80050-901
Rua XV de Novembro,Centro,Curitiba,80060-000
Rua Marechal Deodoro,Centro,Curitiba,80060-010
Rua Benjamin Constant,Centro,Curitiba,80060-020
Travessa Itararé,Centro,Curitiba,80060-040
Rua Nilo Cairo,Centro,Curitiba,80060-050
Avenida Visconde de Guarapuava,Centro,Curitiba,80060-060
Avenida Presidente Affonso Camargo,Jardim Botânico,Curitiba,80060-090
Rua Conselheiro Laurindo,Centro,Curitiba,80060-100
Rua Tibagi,Centro,Curitiba,80060-110
Rua Mariano Torres,Centro,Curitiba,80060-120
Rua Francisco Torres,Centro,Curitiba,80060-130
Rua Doutor Faivre,Centro,Curitiba,80060-140
Rua da Paz,Centro,Curitiba,80060-160
Rua Ubaldino do Amaral,Centro,Curitiba,80060-162
Rua Ubaldino do Amaral,Alto da Glória,Curitiba,80060-190
Rua Ubaldino do Amaral,Alto da Glória,Curitiba,80060-195
Rua Amintas de Barros,Centro,Curitiba,80060-205
Rua Conselheiro Araújo,Centro,Curitiba,80060-230
"Rua General Carneiro, 181",Alto da Glória,Curitiba,80060-900
"Rua Amintas de Barros, 330",Centro,Curitiba,80060-901
Avenida Dario Lopes dos Santos,Rebouças,Curitiba,80210-010
Rua Engenheiros Rebouças,Jardim Botânico,Curitiba,80210-040
Rua Brasílio Itiberê,Jardim Botânico,Curitiba,80210-060
Rua Eleonora Muricy Novaes,Jardim Botânico,Curitiba,80210-131
Rua Maurício Nunes Garcia,Jardim Botânico,Curitiba,80210-150
Rua Coronel João da Silva Sampaio,Jardim Botânico,Curitiba,80210-220
Rua Hildebrando de Araújo,Jardim Botânico,Curitiba,80210-260
Rua São Januário,Jardim Botânico,Curitiba,80210-300
Rua Engenheiro Ostoja Roguski,Jardim Botânico,Curitiba,80210-390
Rua Doutor Reynaldo Machado,Rebouças,Curitiba,80215-010
Rua Iapó,Rebouças,Curitiba,80215-020
Rua Imaculada Conceição,Rebouças,Curitiba,80215-030
Avenida Comendador Franco,Jardim Botânico,Curitiba,80215-090
Rua Chile,Rebouças,Curitiba,80215-170
Rua Chile,Prado Velho,Curitiba,80215-184
Rua Francisco Nunes,Prado Velho,Curitiba,80215-202
Rua Iapó,Prado Velho,Curitiba,80215-223
Rua Pedro de Toledo,Prado Velho,Curitiba,80215-280
Rua Manoel Martins de Abreu,Prado Velho,Curitiba,80215-430
Rua Ângelo Ferro,Jardim Botânico,Curitiba,80215-460
"Rua Engenheiros Rebouças, 1376",Rebouças,Curitiba,80215-900
"Rua Imaculada Conceição, 1155",Prado Velho,Curitiba,80215-901
Avenida Marechal Floriano Peixoto,Rebouças,Curitiba,80220-000
Avenida Marechal Floriano Peixoto,Parolin,Curitiba,80220-001
Rua Desembargador Westphalen,Rebouças,Curitiba,80220-030
Rua Desembargador Westphalen,Parolin,Curitiba,80220-031
Rua Alferes Poli,Rebouças,Curitiba,80220-050
Rua Alferes Poli,Parolin,Curitiba,80220-051
Rua Vinte e Quatro de Maio,Rebouças,Curitiba,80220-060
Rua Nunes Machado,Rebouças,Curitiba,80220-070
Rua Lamenha Lins,Rebouças,Curitiba,80220-080
Rua Brigadeiro Franco,Rebouças,Curitiba,80220-100
Rua Chile,Rebouças,Curitiba,80220-180
Rua Conselheiro Dantas,Rebouças,Curitiba,80220-191
Avenida Presidente Kennedy,Rebouças,Curitiba,80220-200
Avenida Presidente Kennedy,Parolin,Curitiba,80220-201
Rua Piauí,Parolin,Curitiba,80220-240
Avenida Marechal Floriano Peixoto,Prado Velho,Curitiba,80220-295
Rua Maria Moscardi Fanini,Guaíra,Curitiba,80220-450
Avenida Silva Jardim,Rebouças,Curitiba,80230-000
Avenida Sete de Setembro,Rebouças,Curitiba,80230-010
