Logradouro,Bairro,Cidade,CEP
Avenida Getúlio Dorneles Vargas - N - até 620 - lado par,Centro,Chapecó/SC,89801-000
Avenida Getúlio Dorneles Vargas - S - até 491 - lado ímpar,Centro,Chapecó/SC,89801-001
Avenida Getúlio Dorneles Vargas - N - de 622 a 1430 - lado par,Centro,Chapecó/SC,89801-002
Rua Doutor Antonio Selistre de Campos - D,Centro,Chapecó/SC,89801-006
Rua Pio XII,Centro,Chapecó/SC,89801-010
Rua Jonas Rauen,Centro,Chapecó/SC,89801-012
Travessa Ilma Rosa de Nes,Centro,Chapecó/SC,89801-014
Rua Minas Gerais - até 349/350,Centro,Chapecó/SC,89801-015
Praça Coronel Bertaso,Centro,Chapecó/SC,89801-016
Avenida Nereu Ramos - E - até 629/630,Centro,Chapecó/SC,89801-020
Avenida Nereu Ramos - E - de 631/632 a 949/950,Centro,Chapecó/SC,89801-021
Avenida Nereu Ramos - E - de 951 a 1451 - lado ímpar,Centro,Chapecó/SC,89801-022
Avenida Nereu Ramos - D - até 489/490,Centro,Chapecó/SC,89801-023
Travessa Brasil,Centro,Chapecó/SC,89801-025
Rua Barão do Rio Branco - D - até 619/620,Centro,Chapecó/SC,89801-030
Travessa Guararapés,Centro,Chapecó/SC,89801-035
Rua Rui Barbosa - E - até 627/628,Centro,Chapecó/SC,89801-040
Rua Rui Barbosa - E - de 631 a 889 - lado ímpar,Centro,Chapecó/SC,89801-041
Rua Rui Barbosa - D - até 319/320,Centro,Chapecó/SC,89801-042
Rua Marechal José B. Bormann - D,Centro,Chapecó/SC,89801-050
Rua Marechal Deodoro da Fonseca - D - até 629/630,Centro,Chapecó/SC,89801-060
Rua Marechal Deodoro da Fonseca - D - de 631/632 a 1219/1220,Maria Goretti,Chapecó/SC,89801-061
Rua Marechal Deodoro da Fonseca - D - de 1221/1222 a 1739/1740,Maria Goretti,Chapecó/SC,89801-063
Rua Benjamin Constant - D - até 629/630,Centro,Chapecó/SC,89801-070
Rua Benjamin Constant - D - de 631/632 a 1209/1210,Maria Goretti,Chapecó/SC,89801-071
Rua Benjamin Constant - D - de 1211/1212 a 1529/1530,Maria Goretti,Chapecó/SC,89801-072
Rua Quintino Bocaiúva - D - até 329/330,Centro,Chapecó/SC,89801-080
Rua Guaporé - D - até 199/200,Centro,Chapecó/SC,89801-085
Rua Guaporé - D - de 202 a 328 - lado par,Centro,Chapecó/SC,89801-087
Rua Guaporé - D - de 330/331 a 629/630,Presidente Médici,Chapecó/SC,89801-100
Rua Guaporé - D - de 631/632 a 1201/1202,Presidente Médici,Chapecó/SC,89801-101
Rua Guaporé - D - de 1203/1204 a 1453/1454,Presidente Médici,Chapecó/SC,89801-102
Avenida Nereu Ramos - E - de 952 a 1452 - lado par,Presidente Médici,Chapecó/SC,89801-106
Rua Guaporé - D - de 201 a 329 - lado ímpar,Presidente Médici,Chapecó/SC,89801-108
Rua Helmudt Carlos Maier,Presidente Médici,Chapecó/SC,89801-109
Rua Palermo,Presidente Médici,Chapecó/SC,89801-110
Rua Quintino Bocaiúva - D - de 331/332 ao fim,Presidente Médici,Chapecó/SC,89801-112
Rua Gênova,Presidente Médici,Chapecó/SC,89801-115
Rua Veneza,Presidente Médici,Chapecó/SC,89801-120
Rua Porto,Presidente Médici,Chapecó/SC,89801-125
Rua Condá - E - até 689 - lado ímpar,Centro,Chapecó/SC,89801-130
Rua Condá - E - de 691/692 a 1499/1500,Presidente Médici,Chapecó/SC,89801-131
Rua Condá - D - até 339/340,Centro,Chapecó/SC,89801-132
Rua Júlio Cesar,Centro,Chapecó/SC,89801-134
Rua Thomas Edson,Centro,Chapecó/SC,89801-136
Rua Sete de Setembro - D - até 189/190,Centro,Chapecó/SC,89801-140
Rua Sete de Setembro - D - de 631/632 a 1229/1230,Presidente Médici,Chapecó/SC,89801-141
Rua Sete de Setembro - D - de 1231/1232 a 1569/1570,Presidente Médici,Chapecó/SC,89801-142
Rua Sete de Setembro - D - de 191/192 a 629/630,Presidente Médici,Chapecó/SC,89801-145
Rua Rui Barbosa - E - de 630 a 890 - lado par,Presidente Médici,Chapecó/SC,89801-147
Rua Rui Barbosa - E - de 890/891 a 1479/1480,Presidente Médici,Chapecó/SC,89801-148
Rua Granada,Presidente Médici,Chapecó/SC,89801-150
Rua Borges de Medeiros - E - de 681/682 a 1499/1500,Presidente Médici,Chapecó/SC,89801-161
Rua Borges de Medeiros - D - até 109/110,Centro,Chapecó/SC,89801-162
Rua Polônia,Presidente Médici,Chapecó/SC,89801-180
Rua Minas Gerais - de 351/352 a 1179/1180,Presidente Médici,Chapecó/SC,89801-200
Rua Rio de Janeiro - D - até 199/200,Centro,Chapecó/SC,89801-210
Rua Rio de Janeiro - D - de 631/632 a 1199/1200,Presidente Médici,Chapecó/SC,89801-211
Rua Rio de Janeiro - D - de 1201/1202 a 1579/1580,Presidente Médici,Chapecó/SC,89801-212
Rua Rio de Janeiro - D - de 201/202 a 629/630,Presidente Médici,Chapecó/SC,89801-213
Travessa Milão,Presidente Médici,Chapecó/SC,89801-215
Travessa Capri,Presidente Médici,Chapecó/SC,89801-217
Rua Assis Brasil - E - de 647/648 a 1489/1490,Presidente Médici,Chapecó/SC,89801-221
Rua Assis Brasil - D - até 329/330,Centro,Chapecó/SC,89801-222
Rua São João - D - até 199/200,Centro,Chapecó/SC,89801-230
Rua São João - D - de 631/632 a 1179/1180,Presidente Médici,Chapecó/SC,89801-231
Rua São João - D - de 1181/1182 a 1559/1560,Presidente Médici,Chapecó/SC,89801-232
Rua São João - D - de 201/202 a 629/630,Presidente Médici,Chapecó/SC,89801-233
Servidão Piedade,Presidente Médici,Chapecó/SC,89801-235
Rua Oswaldo Aranha - D - até 308 - lado par,Centro,Chapecó/SC,89801-241
Servidão Lapa,Presidente Médici,Chapecó/SC,89801-242
Travessa Colônia,Presidente Médici,Chapecó/SC,89801-244
Travessa Hamburgo,Presidente Médici,Chapecó/SC,89801-246
Travessa Varsóvia,Presidente Médici,Chapecó/SC,89801-248
Rua Quatorze de Agosto - E - de 701/702 a 1469/1470,Presidente Médici,Chapecó/SC,89801-251
Rua Clóvis Locatelli - D - até 298/299,Presidente Médici,Chapecó/SC,89801-260
Rua Londres - de 246/247 ao fim,Presidente Médici,Chapecó/SC,89801-270
Rua Israel - E - de 720/721 a 1499/1500,Presidente Médici,Chapecó/SC,89801-281
Avenida São Pedro - D - até 199/200,Centro,Chapecó/SC,89801-300
Avenida São Pedro - D - de 628 a 1230 - lado par,Presidente Médici,Chapecó/SC,89801-301
