Logradouro/Nome,Bairro/Distrito,Localidade/UF,CEP
Rua José Loureiro,Centro,Curitiba/PR,80010-000
Rua Marechal Deodoro - até 0766 - lado par,Centro,Curitiba/PR,80010-010
Rua Pedro Ivo,Centro,Curitiba/PR,80010-020
Praça Rui Barbosa,Centro,Curitiba/PR,80010-030
Largo Alfredo Parodi,Centro,Curitiba/PR,80010-040
Rua Emiliano Perneta - até 370/371,Centro,Curitiba/PR,80010-050
Travessa Jesuíno Marcondes,Centro,Curitiba/PR,80010-060
Rua Senador Alencar Guimarães,Centro,Curitiba/PR,80010-070
Rua André de Barros,Centro,Curitiba/PR,80010-080
Travessa Frei Caneca,Centro,Curitiba/PR,80010-090
Avenida Visconde de Guarapuava - de 2181/2182 a 3335/3336,Centro,Curitiba/PR,80010-100
Rua Desembargador Westphalen - até 719/0720,Centro,Curitiba/PR,80010-110
Alameda Doutor Muricy - até 575/576,Centro,Curitiba/PR,80010-120
Avenida Marechal Floriano Peixoto - de 180/181 a 929/930,Centro,Curitiba/PR,80010-130
Praça Carlos Gomes,Centro,Curitiba/PR,80010-140
Rua Monsenhor Celso,Centro,Curitiba/PR,80010-150
Rua Lourenço Pinto,Centro,Curitiba/PR,80010-160
Praça Eufrásio Correia,Centro,Curitiba/PR,80010-170
Rua Barão do Rio Branco,Centro,Curitiba/PR,80010-180
Travessa da Lapa,Centro,Curitiba/PR,80010-190
Rua João Negrão - até 849/850,Centro,Curitiba/PR,80010-200
Praça Senador Correia,Centro,Curitiba/PR,80010-210
"Rua Barão do Rio Branco, 182

Secretaria de Estado da Segurança Pública",Centro,Curitiba/PR,80010-901
"Rua Barão do Rio Branco, s/n

Câmara Municipal",Centro,Curitiba/PR,80010-902
"Rua Monsenhor Celso, 219

Edifício Goiás",Centro,Curitiba/PR,80010-921
"Rua José Loureiro, 574

Delegacia Regional do Trabalho no Paraná",Centro,Curitiba/PR,80010-924
"Rua André de Barros, 90/100 Clique e Retire Correios

AGF Ruy Barbosa Clique e Retire",Centro,Curitiba/PR,80010-959
"Rua Marechal Deodoro, 298

CDD Curitiba",Centro,Curitiba/PR,80010-970
"Rua André de Barros, 90/100

AGF Ruy Barbosa",Centro,Curitiba/PR,80010-981
"Rua Marechal Deodoro, 298 Clique e Retire Correios

AC Marechal Deodoro Clique e Retire",Centro,Curitiba/PR,80011-959
"Rua Marechal Deodoro, 298

AC Marechal Deodoro",Centro,Curitiba/PR,80011-970
Rua Voluntários da Pátria,Centro,Curitiba/PR,80020-000
Praça General Osório,Centro,Curitiba/PR,80020-010
Avenida Luiz Xavier,Centro,Curitiba/PR,80020-020
Travessa Oliveira Bello,Centro,Curitiba/PR,80020-030
Alameda Doutor Muricy - de 577/578 ao fim,Centro,Curitiba/PR,80020-040
Rua Cândido de Leão,Centro,Curitiba/PR,80020-050
Rua Candido Lopes,Centro,Curitiba/PR,80020-060
Largo Frederico Faria de Oliveira,Centro,Curitiba/PR,80020-070
Praça Zacarias,Centro,Curitiba/PR,80020-080
Avenida Marechal Floriano Peixoto - até 178/179,Centro,Curitiba/PR,80020-090
Praça Tiradentes,Centro,Curitiba/PR,80020-100
Rua do Rosário,Centro,Curitiba/PR,80020-110
Travessa Nestor de Castro,Centro,Curitiba/PR,80020-120
Rua José Bonifácio,Centro,Curitiba/PR,80020-130
Galeria Júlio Moreira,Centro,Curitiba/PR,80020-140
Largo Coronel Enéas,São Francisco,Curitiba/PR,80020-150
Travessa Padre Júlio de Campos,Centro,Curitiba/PR,80020-160
